Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,1000FLOKIUSDT,1h,Continuation,Balanced,0.8579,Bullish,Long,-0.7143,loss
v2_balanced,1000FLOKIUSDT,15m,Continuation,Balanced,0.8191,Bullish,Long,1.4072,win
v2_balanced,SPKUSDT,1h,Continuation,Trending,0.8879,Bullish,Long,11.804,win
v2_balanced,CROSSUSDT,4h,Continuation,Trending,0.8755,Bullish,Long,3.0618,win
v2_balanced,CROSSUSDT,15m,Continuation,Balanced,0.8663,Bullish,Long,-1.0809,loss
v2_balanced,KATUSDT,15m,Continuation,Trending,0.857,Bullish,Long,-3.5612,loss
v2_balanced,KATUSDT,15m,Continuation,Balanced,0.8094,Bullish,Long,-1.0217,loss
v2_balanced,CLOUSDT,15m,Continuation,Balanced,0.7944,Bullish,Long,0.9057,win
v2_balanced,SLPUSDT,4h,Continuation,Trending,0.8343,Bullish,Long,4.2588,win
v2_balanced,REDUSDT,15m,Continuation,Trending,0.8053,Bullish,Long,-2.0619,loss
v2_balanced,MONUSDT,4h,Continuation,Trending,0.8786,Bullish,Long,-0.1441,loss
v2_balanced,MONUSDT,4h,Continuation,Trending,0.875,Bullish,Long,-1.4725,loss
v2_balanced,XAGUSDT,15m,Continuation,Balanced,0.8239,Bullish,Long,0.7761,win
v2_balanced,XAGUSDT,4h,Continuation,Balanced,0.8893,Bullish,Long,1.001,win
v2_balanced,XAGUSDT,24h,Continuation,Trending,0.8849,Bullish,Long,-0.4713,loss
v2_balanced,HYPERUSDT,15m,Continuation,Trending,0.8794,Bullish,Long,-0.2717,loss
v2_balanced,APTUSDT,4h,Continuation,Trending,0.86,Bullish,Long,1.5148,win
v2_balanced,UNIUSDT,4h,Continuation,Balanced,0.8655,Bullish,Long,3.1821,win
v2_balanced,UNIUSDT,4h,Continuation,Trending,0.8888,Bullish,Long,-2.1553,loss
v2_balanced,ZBTUSDT,15m,Continuation,Trending,0.8212,Bullish,Long,2.5544,win
v2_balanced,ZBTUSDT,1h,Continuation,Trending,0.8553,Bullish,Long,6.3354,win
v2_balanced,ZBTUSDT,4h,Continuation,Trending,0.8923,Bullish,Long,9.1211,win
v2_balanced,SUIUSDT,4h,Continuation,Trending,0.8626,Bullish,Long,-1.6447,loss
v2_balanced,SUIUSDT,4h,Continuation,Balanced,0.871,Bullish,Long,1.2471,win
v2_balanced,NIGHTUSDT,15m,Continuation,Ranging,0.8498,Bullish,Long,-0.5944,loss
v2_balanced,MASKUSDT,4h,Continuation,Trending,0.8985,Bullish,Long,1.6686,win
v2_balanced,MASKUSDT,24h,Continuation,Trending,0.8946,Bullish,Long,10.1631,win
v2_balanced,ENAUSDT,15m,Continuation,Balanced,0.853,Bullish,Long,-1.1334,loss
v2_balanced,ENAUSDT,15m,Continuation,Ranging,0.8413,Bullish,Long,0.3417,win
v2_balanced,ENAUSDT,15m,Continuation,Ranging,0.8041,Bearish,Short,-0.6524,loss
v2_balanced,XMRUSDT,1h,Continuation,Balanced,0.8543,Bullish,Long,0.5472,win
v2_balanced,XMRUSDT,1h,Continuation,Trending,0.8872,Bullish,Long,-1.7825,loss
v2_balanced,XMRUSDT,24h,Continuation,Trending,0.8146,Bullish,Long,3.2112,win
v2_balanced,ZKPUSDT,4h,Continuation,Trending,0.8694,Bullish,Long,9.4951,win
v2_balanced,CTSIUSDT,4h,Continuation,Trending,0.8593,Bullish,Long,6.5073,win
v2_balanced,EDGEUSDT,4h,Continuation,Trending,0.8843,Bullish,Long,3.7564,win
v2_balanced,BTCUSDT,24h,Continuation,Trending,0.8822,Bullish,Long,-1.0196,loss
v2_balanced,SEIUSDT,15m,Continuation,Ranging,0.8433,Bullish,Long,0.3822,win
v2_balanced,SEIUSDT,15m,Continuation,Balanced,0.8271,Bullish,Long,1.3656,win
