Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,NOMUSDT,1h,Continuation,Balanced,0.8235,Bullish,Long,1.0083,win
v2_balanced,NOMUSDT,4h,Continuation,Trending,0.8792,Bullish,Long,-5.2148,loss
v2_balanced,NOMUSDT,15m,Continuation,Trending,0.8353,Bullish,Long,-3.0557,loss
v2_balanced,NOMUSDT,15m,Continuation,Trending,0.8358,Bullish,Long,1.4135,win
v2_balanced,PUMPUSDT,1h,Continuation,Balanced,0.8312,Bullish,Long,-1.6589,loss
v2_balanced,PUMPUSDT,4h,Continuation,Trending,0.8661,Bullish,Long,-0.9499,loss
v2_balanced,TAGUSDT,15m,Continuation,Trending,0.834,Bullish,Long,5.7023,win
v2_balanced,TURTLEUSDT,4h,Continuation,Trending,0.8595,Bullish,Long,-1.9032,loss
v2_balanced,TURTLEUSDT,4h,Continuation,Trending,0.875,Bullish,Long,2.5013,win
v2_balanced,SAHARAUSDT,4h,Continuation,Trending,0.9007,Bullish,Long,-3.2138,loss
v2_balanced,ZECUSDT,4h,Continuation,Trending,0.8318,Bullish,Long,-1.9281,loss
v2_balanced,ZECUSDT,1h,Continuation,Balanced,0.8183,Bullish,Long,3.2049,win
v2_balanced,DOGEUSDT,4h,Continuation,Balanced,0.8664,Bullish,Long,-1.6669,loss
v2_balanced,DOGEUSDT,24h,Continuation,Trending,0.9068,Bullish,Long,-5.2871,loss
v2_balanced,DOGEUSDT,15m,Continuation,Ranging,0.8365,Bullish,Long,-0.0602,loss
v2_balanced,币安人生USDT,15m,Continuation,Trending,0.7916,Bullish,Long,2.4834,win
v2_balanced,币安人生USDT,15m,Continuation,Balanced,0.8724,Bullish,Long,-1.3048,loss
v2_balanced,AEROUSDT,4h,Continuation,Trending,0.8893,Bullish,Long,2.2832,win
v2_balanced,AEROUSDT,4h,Continuation,Trending,0.8551,Bullish,Long,1.796,win
v2_balanced,AEROUSDT,15m,Continuation,Balanced,0.895,Bullish,Long,-0.5152,loss
