Strategy,EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Volatility,Bias,Confidence,PnL_Pct,R_Multiple,Result,EMA30,EMA100,EntryPrice,FlowAlignment,VolumeZ15m,OIZ15m
v2_balanced_current,2026-04-16T03:59:07.940381+00:00,2026-04-16T07:58:55.102134+00:00,FILUSDT,4h,Continuation,Trending,High,Bullish,0.9296,1.4004,0.495,win,0.89664,0.883061,0.944,1.0,4.0719,-2.1834
v2_balanced_current,2026-04-25T14:27:45.587486+00:00,2026-04-25T15:28:51.699736+00:00,ALGOUSDT,15m,Continuation,Balanced,High,Bullish,0.8631,-0.2582,-0.2917,loss,0.114845,0.111984,0.1162,0.8553,1.0441,2.4609
v2_balanced_current,2026-04-26T14:55:47.294101+00:00,2026-04-26T15:57:38.304963+00:00,ALGOUSDT,15m,Continuation,Balanced,High,Bullish,0.862,-0.4602,-0.435,loss,0.118365,0.116575,0.1194,0.6637,0.1788,0.3718
v2_balanced_current,2026-04-26T11:59:59.999000+00:00,2026-04-27T07:56:49.299071+00:00,ONDOUSDT,4h,Continuation,Trending,High,Bullish,0.8921,-2.3392,-1.0,loss,0.261722,0.258685,0.2707,0.9523,-0.0454,-0.0311
v2_balanced_current,2026-04-16T07:58:55.102134+00:00,2026-04-16T15:59:03.950944+00:00,UNIUSDT,4h,Continuation,Balanced,Medium,Bullish,0.8655,3.1821,1.535,win,3.15488,3.109598,3.262,0.7426,0.437,0.561
v2_balanced_current,2026-04-22T07:55:28.153997+00:00,2026-04-22T23:59:59.999000+00:00,UNIUSDT,4h,Continuation,Trending,Medium,Bullish,0.8888,-2.1553,-0.7982,loss,3.285634,3.218155,3.387,0.9199,-0.6542,1.2658
v2_balanced_current,2026-04-15T23:59:41.047592+00:00,2026-04-16T15:59:59.999000+00:00,GALAUSDT,4h,Continuation,Trending,High,Bullish,0.8541,5.7167,1.495,win,0.002992,0.002931,0.003119,0.8183,-0.357,0.4082
v2_balanced_current,2026-04-24T11:59:47.962794+00:00,2026-04-24T23:57:14.414203+00:00,GALAUSDT,4h,Continuation,Trending,High,Bullish,0.8874,4.589,1.545,win,0.003221,0.003134,0.00328,1.0,-0.7033,-0.3977
v2_balanced_current,2026-04-25T03:56:27.323074+00:00,2026-04-25T11:55:01.240326+00:00,GALAUSDT,4h,Continuation,Trending,High,Bullish,0.9131,-3.5403,-1.0,loss,0.003291,0.003163,0.00369,1.0,1.3191,1.017
v2_balanced_current,2026-04-29T03:56:09.151296+00:00,2026-04-29T23:59:59.999000+00:00,GALAUSDT,4h,Continuation,Trending,High,Bullish,0.84,-3.3918,-1.0,loss,0.003343,0.003245,0.00338,0.7055,1.7198,-0.9577
v2_balanced_current,2026-04-27T04:58:39.847155+00:00,2026-04-27T05:29:12.826355+00:00,GENIUSUSDT,15m,Continuation,Ranging,Medium,Bullish,0.802,-0.6345,-1.0,loss,0.588739,0.584315,0.5944,0.7552,1.4072,0.4295
v2_balanced_current,2026-04-24T03:59:59.999000+00:00,2026-04-24T15:59:59.999000+00:00,VANAUSDT,4h,Continuation,Trending,Medium,Bullish,0.8903,1.5227,0.535,win,1.416587,1.410675,1.487,0.9091,0.0,0.0
v2_balanced_current,2026-04-12T15:44:18.439893+00:00,2026-04-12T16:25:07.002349+00:00,GIGGLEUSDT,15m,Continuation,Balanced,Low,Bullish,0.8403,-1.2856,-1.0,loss,29.194208,29.331837,29.43,0.7991,0.6747,0.4479
