EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result,EMA30,EMA100,EntryPrice
2026-04-07T04:55:50.210198+00:00,,ZECUSDT,1h,Continuation,Trending,0.8849,Bullish,Long,1.1843,win,252.806559,248.244484,262.690506
2026-04-21T11:55:16.329497+00:00,,ZECUSDT,4h,Continuation,Trending,0.8582,Bullish,Long,-4.38,loss,328.723001,318.371443,330.45
2026-04-10T15:57:41.707946+00:00,,WLDUSDT,1h,Continuation,Balanced,0.8632,Bullish,Long,2.3537,win,0.267275,0.260617,0.2763
2026-04-13T01:57:14.016265+00:00,,WLDUSDT,1h,Continuation,Trending,0.8972,Bullish,Long,-2.0708,loss,0.289821,0.279755,0.300415
2026-04-14T07:55:20.338849+00:00,,WLDUSDT,4h,Continuation,Trending,0.9314,Bullish,Long,-4.9768,loss,0.289021,0.267927,0.325584
2026-04-16T07:58:55.102134+00:00,,WLDUSDT,15m,Continuation,Ranging,0.895,Bullish,Long,-0.7118,loss,0.308261,0.304539,0.310626
2026-04-14T06:59:21.800171+00:00,,CRVUSDT,15m,Continuation,Ranging,0.8603,Bullish,Long,-0.2536,loss,0.217162,0.214476,0.218
2026-04-14T13:56:58.409123+00:00,,DOGEUSDT,1h,Continuation,Trending,0.9287,Bullish,Long,-1.0808,loss,0.093291,0.092532,0.096587
2026-04-16T23:59:32.515981+00:00,,DOGEUSDT,24h,Continuation,Trending,0.907,Bullish,Long,-5.7886,loss,0.09226,0.091166,0.099212
2026-04-22T07:55:28.153997+00:00,,DOGEUSDT,4h,Continuation,Balanced,0.8873,Bullish,Long,-1.8613,loss,0.095364,0.094145,0.09744
2026-04-29T00:27:29.677948+00:00,,DOGEUSDT,15m,Continuation,Ranging,0.8365,Bullish,Long,-0.0602,loss,0.099409,0.099178,0.09963
2026-04-29T07:58:12.459559+00:00,,DOGEUSDT,1h,Continuation,Trending,0.9308,Bullish,Long,1.6126,win,0.100202,0.09897,0.10489
2026-04-06T11:56:30.624019+00:00,,SUIUSDT,4h,Continuation,Trending,0.8947,Bullish,Long,-3.4636,loss,0.858681,0.852869,0.9028
2026-04-13T23:56:29.181229+00:00,,SUIUSDT,4h,Continuation,Trending,0.8626,Bullish,Long,-1.6447,loss,0.919454,0.893475,0.9594
2026-04-16T03:59:07.940381+00:00,,SUIUSDT,4h,Continuation,Balanced,0.871,Bullish,Long,1.2471,win,0.936021,0.905651,0.9736
2026-04-17T16:59:48.418007+00:00,,ROSEUSDT,1h,Continuation,Balanced,0.9042,Bullish,Long,-0.3322,loss,0.011746,0.011695,0.01204
2026-04-27T03:59:59.999000+00:00,,KITEUSDT,4h,Continuation,Trending,0.8774,Bullish,Long,-4.9689,loss,0.146907,0.143002,0.15564
2026-04-11T19:58:36.974992+00:00,,ASTERUSDT,4h,Continuation,Balanced,0.8842,Bullish,Long,-1.277,loss,0.667929,0.667887,0.6798
2026-04-14T13:56:58.409123+00:00,,ASTERUSDT,1h,Continuation,Balanced,0.9079,Bullish,Long,-1.2758,loss,0.672989,0.668022,0.686902
2026-04-16T23:59:32.515981+00:00,,1000SHIBUSDT,24h,Continuation,Trending,0.9079,Bullish,Long,-5.9845,loss,0.005902,0.005859,0.006266
2026-04-22T14:28:07.713647+00:00,,1000SHIBUSDT,15m,Continuation,Ranging,0.8316,Bullish,Long,0.1854,win,0.006224,0.006156,0.006256
2026-04-30T06:43:15.104600+00:00,,1000SHIBUSDT,15m,Continuation,Ranging,0.8072,Bullish,Long,0.7994,win,0.006215,0.006187,0.006233
2026-04-05T17:57:05.618344+00:00,,VVVUSDT,1h,Continuation,Trending,0.905,Bullish,Long,-1.0801,loss,7.116485,7.092016,7.379706
2026-04-06T02:55:59.979137+00:00,,VVVUSDT,15m,Continuation,Balanced,0.8068,Bullish,Long,-0.072,loss,7.293964,7.238228,7.362298
2026-04-07T10:27:01.493724+00:00,,VVVUSDT,15m,Continuation,Balanced,0.4205,Bearish,Short,-0.0387,loss,6.780353,6.906396,6.748
2026-04-11T07:57:49.609646+00:00,,VVVUSDT,15m,Continuation,Balanced,0.8241,Bullish,Long,0.4968,win,7.857352,7.710522,7.999921
2026-04-20T19:59:59.999000+00:00,,VVVUSDT,4h,Continuation,Trending,0.8809,Bullish,Long,-0.2314,loss,8.830369,8.097941,9.506
2026-04-26T07:59:59.999000+00:00,,VVVUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,2.163,win,8.858683,8.474867,9.373
2026-04-27T12:57:08.839885+00:00,,ZROUSDT,1h,Continuation,Balanced,0.4877,Bearish,Short,0.8118,win,1.558842,1.637067,1.4934
2026-04-05T17:26:22.566118+00:00,,WIFUSDT,15m,Continuation,Ranging,0.3906,Bearish,Short,-0.0152,loss,0.176069,0.176917,0.1751
2026-04-06T11:56:30.624019+00:00,,WIFUSDT,4h,Continuation,Trending,0.8998,Bullish,Long,-3.2943,loss,0.178661,0.177285,0.1896
2026-04-07T19:58:07.126140+00:00,,WIFUSDT,1h,Continuation,Trending,0.8925,Bullish,Long,0.7897,win,0.181154,0.180114,0.186327
