strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,entry_price,stop_loss,target_price_1,target_price_2,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type
v2_full_setup_ready_entry,2026-04-04T21:57:32.455933+00:00,2026-04-04T22:43:27.739383+00:00,ALGOUSDT,15m,Accumulation,Bullish,Ranging,High,loss,Invalidation,-1.0,-0.4981,-0.61656128,0.1203,0.11955827678571429,0.12104172321428572,0.12178344642857143,0.7002,0.3481,0.85,0.7002,0.0,-0.00018163417166832242,-0.23527202547305232,Accumulation Watch
v2_full_setup_ready_entry,2026-04-05T13:57:07.699601+00:00,2026-04-05T14:58:27.341993+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.6928,-0.96871969,0.11889419,0.11774243857142856,0.12004594142857143,0.12119769285714287,0.7865,0.5428,1.0,0.7865,4.995785934290023,-0.28814348456008637,0.09073140067978093,Accumulation Watch
v2_full_setup_ready_entry,2026-04-05T15:29:01.483724+00:00,2026-04-05T15:44:18.500459+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,loss,Invalidation,-1.0,-0.2474,-1.02845797,0.1171,0.11830432428571427,0.11589567571428572,0.11469135142857144,0.7268,0.3447,0.85,0.7268,-0.6744907594765879,-2.1216915877347877,0.09073140067978093,Accumulation Watch
v2_full_setup_ready_entry,2026-04-05T16:09:57.661909+00:00,2026-04-05T16:55:47.347214+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.515,-1.20152694,0.11945969,0.11802434964285714,0.12089503035714284,0.1223303707142857,0.7488,0.365,1.0,0.7488,0.3506567856442528,-1.2408763375959677,-0.022321586019209,Accumulation Watch
v2_full_setup_ready_entry,2026-04-05T17:57:05.618344+00:00,2026-04-05T21:57:05.885585+00:00,ALGOUSDT,1h,Accumulation,Bullish,Balanced,High,win,Target 2,1.5,0.405,2.99133854,0.119,0.11662687142857142,0.12137312857142857,0.12374625714285714,0.7147,0.3899,0.85,0.7147,-0.6744907594765907,-0.41237914716726515,-0.022321586019209,Accumulation Watch
v2_full_setup_ready_entry,2026-04-05T22:58:14.476313+00:00,2026-04-06T03:57:18.322802+00:00,ALGOUSDT,1h,Trap,Bullish,Balanced,High,loss,Fail-Fast Exit,-0.24213797,-0.09177029,-0.93644865,0.12244665,0.1177111267857143,0.1271821732142857,0.13191769642857143,0.85,0.608,0.85,0.85,0.662876616825849,1.03653677757587,0.06952334578201473,Trap Watch
v2_full_setup_ready_entry,2026-04-06T12:27:07.241627+00:00,2026-04-06T12:42:23.218005+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.7373,-1.18422704,0.126,0.12450787392857143,0.12749212607142857,0.12898425214285714,0.8339,0.5873,0.85,0.8339,3.677499602555513,-0.8393995687095657,0.43497149542105285,Accumulation Watch
v2_full_setup_ready_entry,2026-04-07T07:59:22.708841+00:00,2026-04-07T23:57:56.049482+00:00,ALGOUSDT,4h,Accumulation,Bearish,Trending,High,loss,Invalidation,-1.0,-0.4938,-5.45746021,0.1131,0.11927238750000001,0.1069276125,0.100755225,0.6506,0.3438,1.0,0.6506,3.473936787631557,-0.13324268024063052,-0.539529831862512,Accumulation Watch
v2_full_setup_ready_entry,2026-04-09T17:28:58.830288+00:00,2026-04-09T21:13:33.376497+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,loss,Invalidation,0.0,0.0,0.0,0.1132,0.11433733535714286,0.11206266464285713,0.11092532928571427,0.6475,0.2472,0.85,0.6475,-1.8178810964097805,-0.3467395072934839,0.24033893563267664,Accumulation Watch
v2_full_setup_ready_entry,2026-04-10T05:59:53.590083+00:00,2026-04-10T14:56:27.453507+00:00,ALGOUSDT,1h,Accumulation,Bearish,Balanced,High,loss,Stale Exit,-0.36587765,-0.1665841,-0.58491571,0.11095103,0.112724765,0.10917729500000001,0.10740356000000001,0.6298,0.3053,0.85,0.6298,5.269750867663061,-0.026468094429211313,-0.4081530871922738,Accumulation Watch
